|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:04 |       91.91% |       97.01% |       0.3229 |       0.1170 |          0.0010 |
|       1 |           5 |       00:00:09 |       96.91% |       97.54% |       0.1495 |       0.1129 |          0.0010 |
|       2 |          10 |       00:00:15 |       96.62% |       97.69% |       0.1184 |       0.0862 |          0.0010 |
|       3 |          15 |       00:00:20 |       95.57% |       97.31% |       0.1141 |       0.0841 |          0.0010 |
|       3 |          20 |       00:00:26 |       97.78% |       97.73% |       0.0874 |       0.0763 |          0.0010 |
|       4 |          25 |       00:00:31 |       98.29% |       97.79% |       0.0489 |       0.0735 |          0.0010 |
|       5 |          30 |       00:00:36 |       98.33% |       97.79% |       0.0585 |       0.0705 |          0.0010 |
|       5 |          35 |       00:00:43 |       98.80% |       97.76% |       0.0274 |       0.0693 |          0.0010 |
|       6 |          40 |       00:00:48 |       97.44% |       97.89% |       0.0883 |       0.0657 |          0.0010 |
|       7 |          45 |       00:00:54 |       96.87% |       97.90% |       0.0990 |       0.0634 |          0.0010 |
|       8 |          50 |       00:01:00 |       97.04% |       97.96% |       0.0806 |       0.0605 |          0.0010 |
|       8 |          55 |       00:01:06 |       98.14% |       97.98% |       0.0666 |       0.0584 |          0.0010 |
|       9 |          60 |       00:01:12 |       98.44% |       97.97% |       0.0300 |       0.0570 |          0.0010 |
|      10 |          65 |       00:01:18 |       98.82% |       98.02% |       0.0429 |       0.0552 |          0.0010 |
|      10 |          70 |       00:01:24 |       98.74% |       98.08% |       0.0234 |       0.0547 |          0.0010 |
|      11 |          75 |       00:01:29 |       97.67% |       97.99% |       0.0764 |       0.0574 |          0.0010 |
|      12 |          80 |       00:01:35 |       97.15% |       98.12% |       0.0861 |       0.0540 |          0.0010 |
|      13 |          85 |       00:01:42 |       97.14% |       98.12% |       0.0709 |       0.0519 |          0.0010 |
|      13 |          90 |       00:01:48 |       98.22% |       98.18% |       0.0564 |       0.0500 |          0.0010 |
|      14 |          95 |       00:01:54 |       98.50% |       98.16% |       0.0268 |       0.0494 |          0.0010 |
|      15 |         100 |       00:02:00 |       99.05% |       98.24% |       0.0344 |       0.0480 |          0.0010 |
